Country,Year,Electricity installed capacity in Total renewable energy (MW),Electricity installed capacity in Hydropower (MW),Electricity installed capacity in Wind (MW),Electricity installed capacity in Solar (MW),Electricity installed capacity in Bioenergy (MW),Electricity installed capacity in Geothermal (MW),Electricity export (GWh),Electricity import (GWh),Electricity final consumption (GWh),"Electricity generation, Total (GWh)",Electricity generated from fossil fuels (GWh),Electricity generated from nuclear power (GWh),Electricity generated from renewable sources (GWh),Electricity generated from hydropower (GWh),"Electricity generated from solar, wind, tide, wave and other sources (GWh)",Electricity generated from biofuels and waste (GWh),Electricity generated from geothermal energy (GWh),Population access to electricity-National (% of population),Population access to electricity-Urban (% of population),Population access to electricity-Rural (% of population),Electricity generation per Capita (KWh),Electricity final consumption per capita (KWh),,,,,,,,,,,,
Namibia,2017,427.20,347.00,5.20,74.80,0.30,0.00,94.50,3127.90,4030.90,1517.70,65.40,0.00,1452.30,1415.70,36.60,0.00,0.00,52.50,74.30,31.60,599.00,1590.90,,,,,,,,,,,,
Namibia,2018,445.00,347.00,5.20,92.50,0.30,0.00,95.90,3041.90,4159.60,1543.50,69.00,0.00,1474.60,1436.10,38.50,0.00,0.00,54.00,74.40,33.50,596.50,1607.40,,,,,,,,,,,,
Namibia,2019,497.40,347.00,5.20,145.00,0.30,0.00,98.90,3106.80,4295.80,1570.70,72.80,0.00,1497.90,1456.80,41.10,0.00,0.00,55.20,74.60,35.00,594.50,1626.00,,,,,,,,,,,,
Namibia,2020,501.40,351.00,5.20,145.00,0.30,0.00,100.90,3173.30,4440.10,1595.50,73.20,0.00,1522.30,1477.70,44.60,0.00,0.00,NA,NA,NA,591.70,1646.60,,,,,,,,,,,,
Rwanda,2013,61.90,60.10,0.00,0.90,0.80,0.00,2.70,92.90,373.20,475.30,255.90,0.00,219.40,214.50,3.00,2.00,0.00,15.20,61.50,5.80,43.00,33.70,,,,,,,,,,,,
Rwanda,2014,77.10,66.30,0.00,10.00,0.80,0.00,10.50,93.30,407.70,527.40,308.00,0.00,219.40,214.50,3.00,2.00,0.00,19.80,71.80,9.20,46.50,35.90,,,,,,,,,,,,
Rwanda,2015,109.10,94.30,0.00,14.00,0.80,0.00,3.50,93.60,411.80,533.40,311.40,0.00,221.90,216.80,3.10,2.00,0.00,22.80,72.90,12.50,45.90,35.40,,,,,,,,,,,,
Rwanda,2016,118.30,98.30,0.00,19.20,0.80,0.00,0.00,98.20,423.90,539.80,315.30,0.00,224.50,219.30,3.10,2.00,0.00,29.40,80.00,19.00,45.30,35.60,,,,,,,,,,,,
Rwanda,2017,126.80,98.80,0.00,27.30,0.80,0.00,0.00,107.10,437.40,546.80,319.60,0.00,227.20,222.00,3.20,2.00,0.00,34.10,84.80,23.60,44.80,35.80,,,,,,,,,,,,
Rwanda,2018,130.60,98.80,0.00,31.00,0.80,0.00,0.00,116.80,452.40,554.40,324.20,0.00,230.10,224.80,3.20,2.10,0.00,34.70,88.60,23.50,44.30,36.20,,,,,,,,,,,,
Rwanda,2019,141.40,109.60,0.00,31.00,0.80,0.00,0.00,127.60,469.00,562.40,329.30,0.00,233.20,227.80,3.20,2.10,0.00,37.80,93.10,26.20,44.00,36.70,,,,,,,,,,,,
Rwanda,2020,141.40,109.60,0.00,31.00,0.80,0.00,0.00,139.50,487.50,571.10,334.70,0.00,236.40,231.00,3.30,2.10,0.00,NA,NA,NA,43.60,37.20,,,,,,,,,,,,
Sao Tome and Principe,2013,2.40,2.30,0.00,0.10,0.00,0.00,0.00,0.00,21.80,28.50,17.90,0.00,10.60,10.50,0.10,0.00,0.00,64.80,71.70,50.10,152.10,116.80,,,,,,,,,,,,
Sao Tome and Principe,2014,2.40,2.30,0.00,0.10,0.00,0.00,0.00,0.00,22.30,29.10,18.00,0.00,11.10,11.00,0.10,0.00,0.00,68.60,75.80,52.40,152.40,116.70,,,,,,,,,,,,
Sao Tome and Principe,2015,2.40,2.30,0.00,0.10,0.00,0.00,0.00,0.00,12.50,29.60,18.30,0.00,11.20,11.10,0.10,0.00,0.00,67.30,73.00,53.70,151.20,63.80,,,,,,,,,,,,
Sao Tome and Principe,2016,2.50,2.30,0.00,0.20,0.00,0.00,0.00,0.00,13.20,30.70,18.70,0.00,12.10,11.90,0.10,0.00,0.00,69.40,73.70,58.90,153.80,66.30,,,,,,,,,,,,
Sao Tome and Principe,2017,2.60,2.30,0.00,0.30,0.00,0.00,0.00,0.00,16.50,94.80,81.80,0.00,13.00,12.80,0.10,0.00,0.00,74.30,73.50,76.20,464.10,80.90,,,,,,,,,,,,
Sao Tome and Principe,2018,2.70,2.30,0.00,0.30,0.00,0.00,0.00,0.00,17.70,96.70,83.70,0.00,13.00,12.80,0.10,0.00,0.00,71.00,76.70,55.70,462.90,84.50,,,,,,,,,,,,
Sao Tome and Principe,2019,2.70,2.30,0.00,0.30,0.00,0.00,0.00,0.00,18.90,99.90,85.80,0.00,14.10,13.90,0.10,0.00,0.00,75.20,77.60,68.50,468.00,88.60,,,,,,,,,,,,
Sao Tome and Principe,2020,2.70,2.30,0.00,0.30,0.00,0.00,0.00,0.00,20.30,103.50,88.30,0.00,15.20,15.10,0.10,0.00,0.00,NA,NA,NA,474.80,93.10,,,,,,,,,,,,
Senegal,2013,32.00,0.00,0.00,7.00,25.00,0.00,0.00,0.00,2929.00,3497.10,3126.00,0.00,371.10,308.50,3.60,59.00,0.00,57.00,87.80,31.80,247.70,207.40,,,,,,,,,,,,
Senegal,2014,35.00,0.00,0.00,10.00,25.00,0.00,0.00,0.00,3205.00,3662.00,3273.00,0.00,389.00,323.00,4.00,62.00,0.00,61.00,85.00,41.00,251.80,220.30,,,,,,,,,,,,
Senegal,2015,36.00,0.00,0.00,11.00,25.00,0.00,0.00,0.00,3405.30,4125.00,3706.00,0.00,419.00,342.00,4.00,73.00,0.00,60.50,86.90,38.10,275.40,227.40,,,,,,,,,,,,
Senegal,2016,68.00,0.00,0.00,43.00,25.00,0.00,0.00,0.00,3734.00,4398.90,3981.00,0.00,417.90,348.90,6.00,63.00,0.00,64.50,87.70,44.50,285.40,242.30,,,,,,,,,,,,
Senegal,2017,138.00,0.00,0.00,113.00,25.00,0.00,0.00,0.00,3957.30,4505.30,4075.90,0.00,429.40,356.90,6.20,66.30,0.00,61.70,91.70,35.40,284.20,249.70,,,,,,,,,,,,
Senegal,2018,180.00,0.00,0.00,155.00,25.00,0.00,0.00,0.00,4983.10,4905.00,4243.30,0.00,661.70,320.90,252.20,88.60,0.00,66.00,93.50,41.40,301.00,305.80,,,,,,,,,,,,
Senegal,2019,230.00,0.00,50.00,155.00,25.00,0.00,0.00,0.00,5270.90,5030.70,4352.40,0.00,678.30,328.70,256.20,93.40,0.00,70.40,95.20,47.80,300.40,314.80,,,,,,,,,,,,
Senegal,2020,230.00,NA,50.00,155.00,25.00,0.00,0.00,0.00,5598.00,5162.20,4468.20,0.00,694.10,336.80,263.40,93.90,0.00,NA,NA,NA,300.10,325.50,,,,,,,,,,,,
Seychelles,2013,6.30,0.00,6.00,0.30,0.00,0.00,0.00,0.00,304.00,409.40,408.00,0.00,1.40,0.00,1.40,0.00,0.00,98.00,99.50,96.20,4413.80,3277.20,,,,,,,,,,,,
Seychelles,2014,7.00,0.00,6.00,1.00,0.00,0.00,0.00,0.00,311.50,430.00,412.00,0.00,18.00,0.00,4.00,14.00,0.00,100.00,100.00,100.00,4611.10,3340.20,,,,,,,,,,,,
Seychelles,2015,7.40,0.00,6.00,1.40,0.00,0.00,0.00,0.00,482.70,441.40,423.30,0.00,18.10,0.00,4.00,14.10,0.00,100.00,100.00,100.00,4709.20,5148.90,,,,,,,,,,,,
Seychelles,2016,7.90,0.00,6.00,1.90,0.00,0.00,0.00,0.00,501.60,453.70,435.30,0.00,18.40,0.00,4.00,14.40,0.00,100.00,100.00,100.00,4815.20,5323.20,,,,,,,,,,,,
Seychelles,2017,8.60,0.00,6.00,2.60,0.00,0.00,0.00,0.00,524.40,466.90,448.00,0.00,18.80,0.00,4.10,14.70,0.00,100.00,100.00,100.00,4927.90,5534.90,,,,,,,,,,,,
Seychelles,2018,9.70,0.00,6.00,3.70,0.00,0.00,0.00,0.00,551.40,483.60,461.50,0.00,22.10,0.00,6.90,15.20,0.00,100.00,100.00,100.00,5078.20,5790.40,,,,,,,,,,,,
Seychelles,2019,9.70,0.00,6.00,3.70,0.00,0.00,0.00,0.00,583.60,498.60,475.80,0.00,22.80,0.00,7.00,15.80,0.00,100.00,100.00,100.00,5209.70,6097.60,,,,,,,,,,,,
Seychelles,2020,9.80,0.00,6.00,3.80,0.00,0.00,0.00,0.00,621.60,514.50,490.90,0.00,23.60,0.00,7.10,16.50,0.00,NA,NA,NA,5353.30,6467.50,,,,,,,,,,,,
Sierra Leone,2013,54.60,54.30,0.00,0.40,0.00,0.00,0.00,0.00,78.70,150.00,45.00,0.00,105.00,105.00,0.00,0.00,0.00,13.50,32.30,1.00,21.70,11.40,,,,,,,,,,,,
Sierra Leone,2014,90.40,56.30,0.00,0.40,33.80,0.00,0.00,0.00,113.80,320.20,142.00,0.00,178.20,178.20,0.00,0.00,0.00,18.60,43.90,1.50,45.20,16.10,,,,,,,,,,,,
Sierra Leone,2015,90.50,56.30,0.00,0.40,33.80,0.00,0.00,0.00,129.60,340.80,152.20,0.00,188.70,188.70,0.00,0.00,0.00,19.50,45.40,1.70,47.10,17.90,,,,,,,,,,,,
Sierra Leone,2016,90.50,56.30,0.00,0.50,33.80,0.00,0.00,0.00,133.00,366.60,163.80,0.00,202.70,202.70,0.00,0.00,0.00,20.30,46.90,1.60,49.60,18.00,,,,,,,,,,,,
Sierra Leone,2017,98.50,60.90,0.00,3.80,33.80,0.00,0.00,0.00,136.70,396.70,177.30,0.00,219.40,219.40,0.00,0.00,0.00,23.40,48.70,5.40,52.50,18.10,,,,,,,,,,,,
Sierra Leone,2018,99.10,60.90,0.00,4.40,33.80,0.00,0.00,0.00,142.30,431.80,192.70,0.00,239.10,239.10,0.00,0.00,0.00,26.10,53.20,6.40,55.90,18.40,,,,,,,,,,,,
Sierra Leone,2019,99.10,60.90,0.00,4.40,33.80,0.00,0.00,0.00,146.60,452.00,210.60,0.00,241.40,241.40,0.00,0.00,0.00,22.70,51.40,1.50,57.30,18.60,,,,,,,,,,,,
Sierra Leone,2020,99.10,60.90,0.00,4.40,33.80,0.00,0.00,0.00,151.10,475.30,231.30,0.00,244.00,244.00,0.00,0.00,0.00,NA,NA,NA,59.10,18.80,,,,,,,,,,,,
Somalia,2013,2.20,0.00,2.20,0.00,0.00,0.00,0.00,0.00,181.00,351.00,351.00,0.00,0.00,0.00,0.00,0.00,0.00,25.80,51.60,7.00,26.70,13.80,,,,,,,,,,,,
Somalia,2014,2.30,0.00,2.20,0.10,0.00,0.00,0.00,0.00,191.50,372.00,372.00,0.00,0.00,0.00,0.00,0.00,0.00,27.50,54.00,7.70,27.50,14.20,,,,,,,,,,,,
Somalia,2015,3.00,0.00,2.80,0.20,0.00,0.00,0.00,0.00,196.90,382.90,382.90,0.00,0.00,0.00,0.00,0.00,0.00,29.20,56.40,8.50,27.50,14.20,,,,,,,,,,,,
Somalia,2016,7.50,0.00,2.80,4.70,0.00,0.00,0.00,0.00,209.30,394.30,394.30,0.00,0.00,0.00,0.00,0.00,0.00,30.90,58.70,9.20,27.50,14.60,,,,,,,,,,,,
Somalia,2017,10.40,0.00,3.50,6.90,0.00,0.00,0.00,0.00,222.80,406.30,406.30,0.00,0.00,0.00,0.00,0.00,0.00,32.60,61.10,9.90,27.60,15.10,,,,,,,,,,,,
Somalia,2018,10.60,0.00,3.50,7.10,0.00,0.00,0.00,0.00,237.70,418.90,418.90,0.00,0.00,0.00,0.00,0.00,0.00,34.30,63.40,10.50,27.60,15.70,,,,,,,,,,,,
Somalia,2019,10.60,0.00,3.50,7.10,0.00,0.00,0.00,0.00,254.20,432.10,432.10,0.00,0.00,0.00,0.00,0.00,0.00,36.00,65.80,11.10,27.60,16.30,,,,,,,,,,,,
Somalia,2020,26.10,0.00,3.50,22.50,0.00,0.00,0.00,0.00,272.60,446.00,446.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,27.70,16.90,,,,,,,,,,,,
South Africa,2013,1499.70,735.20,257.00,261.60,246.00,0.00,13929.00,9428.00,199308.00,255934.70,237349.00,14106.00,4479.70,4040.00,141.70,298.00,0.00,85.20,87.10,81.90,4760.00,3706.90,,,,,,,,,,,,
South Africa,2014,2710.10,732.30,569.00,1162.90,246.00,0.00,13836.00,11177.00,198905.00,252576.00,232451.00,13794.00,6331.00,4082.00,1946.00,303.00,0.00,86.00,87.20,83.80,4631.10,3647.00,,,,,,,,,,,,
South Africa,2015,3428.70,747.40,1079.00,1351.70,250.70,0.00,14609.00,13059.00,208913.70,249655.00,228566.00,12237.00,8852.00,3720.00,4873.00,259.00,0.00,85.30,87.30,81.50,4515.30,3778.40,,,,,,,,,,,,
South Africa,2016,4650.10,747.40,1473.00,2174.00,255.70,0.00,16549.00,10555.00,192818.00,252747.00,226667.00,15026.00,11054.00,3994.00,6800.00,260.00,0.00,84.20,87.50,78.00,4512.10,3442.20,,,,,,,,,,,,
South Africa,2017,6547.80,747.40,2094.00,3446.70,259.70,0.00,15052.30,9197.30,196565.10,260729.10,231630.00,15216.80,13882.40,5183.90,8401.40,297.00,0.00,84.40,87.60,78.20,4597.00,3465.70,,,,,,,,,,,,
South Africa,2018,7907.00,747.40,2094.00,4800.90,264.70,0.00,15381.10,8673.10,198416.20,266256.30,236718.00,15410.00,14128.30,5381.60,8445.40,301.30,0.00,84.70,87.70,78.70,4638.70,3456.80,,,,,,,,,,,,
South Africa,2019,8011.10,747.40,2094.00,4905.00,264.70,0.00,15710.20,9185.70,202299.20,272102.20,241939.00,15609.80,14553.40,5640.50,8603.10,309.80,0.00,85.00,87.90,79.20,4686.20,3484.00,,,,,,,,,,,,
South Africa,2020,9638.70,747.40,2636.00,5989.60,265.70,0.00,15770.60,9437.10,207863.80,278140.80,247301.00,15814.40,15025.40,5914.20,8792.80,318.50,0.00,NA,NA,NA,4736.60,3539.80,,,,,,,,,,,,
South Sudan,2013,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,415.00,470.10,470.00,0.00,0.10,0.00,0.10,0.00,0.00,3.60,1.90,4.00,42.10,37.10,,,,,,,,,,,,
South Sudan,2014,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,429.00,488.00,486.00,0.00,2.00,0.00,2.00,0.00,0.00,4.10,2.50,4.50,42.30,37.20,,,,,,,,,,,,
South Sudan,2015,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,442.20,578.00,576.00,0.00,2.00,0.00,2.00,0.00,0.00,4.60,3.00,5.00,48.60,37.20,,,,,,,,,,,,
South Sudan,2016,0.40,0.00,0.00,0.40,0.00,0.00,0.00,0.00,402.00,439.00,437.00,0.00,2.00,0.00,2.00,0.00,0.00,5.10,3.60,5.50,35.90,32.90,,,,,,,,,,,,
South Sudan,2017,0.40,0.00,0.00,0.40,0.00,0.00,0.00,0.00,498.30,542.10,539.10,0.00,3.00,0.00,3.00,0.00,0.00,4.20,2.90,4.50,43.10,39.60,,,,,,,,,,,,
South Sudan,2018,0.60,0.00,0.00,0.60,0.00,0.00,0.00,0.00,517.00,547.90,538.10,0.00,9.70,0.00,9.70,0.00,0.00,6.20,4.70,6.60,42.40,40.00,,,,,,,,,,,,
South Sudan,2019,0.60,0.00,0.00,0.60,0.00,0.00,0.00,0.00,540.80,557.60,547.70,0.00,9.80,0.00,9.80,0.00,0.00,6.70,5.10,7.10,42.00,40.80,,,,,,,,,,,,
South Sudan,2020,0.60,0.00,0.00,0.60,0.00,0.00,0.00,0.00,570.10,568.50,558.50,0.00,10.00,0.00,10.00,0.00,0.00,NA,NA,NA,41.80,41.90,,,,,,,,,,,,
Sudan,2013,1800.20,1593.20,0.00,8.00,199.00,0.00,0.00,0.00,7895.00,10289.80,1969.00,0.00,8320.80,8315.00,5.80,0.00,0.00,43.30,75.70,27.00,279.20,214.20,,,,,,,,,,,,
Sudan,2014,1800.20,1593.20,0.00,8.00,199.00,0.00,0.00,0.00,9710.00,11381.00,2463.00,0.00,8918.00,8913.00,5.00,0.00,0.00,44.90,76.30,28.90,301.60,257.30,,,,,,,,,,,,
Sudan,2015,1803.30,1593.20,0.00,11.10,199.00,0.00,0.00,0.00,9759.90,13052.20,4627.00,0.00,8425.20,8420.00,5.20,0.00,0.00,46.90,77.40,31.30,337.70,252.50,,,,,,,,,,,,
Sudan,2016,1804.50,1593.20,0.00,12.30,199.00,0.00,0.00,0.00,12514.00,14408.10,6378.00,0.00,8030.10,8024.70,5.40,0.00,0.00,48.80,78.50,33.40,364.00,316.20,,,,,,,,,,,,
Sudan,2017,1964.60,1753.00,0.00,12.60,199.00,0.00,0.00,0.00,12008.30,15911.10,6558.60,0.00,9352.50,9347.10,5.40,0.00,0.00,50.70,79.70,35.50,392.50,296.30,,,,,,,,,,,,
Sudan,2018,2118.90,1907.00,0.00,12.90,199.00,0.00,0.00,0.00,13701.30,16113.70,6758.00,0.00,9355.70,9350.70,5.00,0.00,0.00,52.30,80.60,37.30,388.20,330.10,,,,,,,,,,,,
Sudan,2019,2124.90,1907.00,0.00,18.90,199.00,0.00,0.00,0.00,14219.50,16769.90,6976.60,0.00,9793.30,9788.20,5.10,0.00,0.00,53.80,81.40,39.00,394.50,334.50,,,,,,,,,,,,
Sudan,2020,2124.90,1907.00,0.00,18.90,199.00,0.00,0.00,0.00,14621.00,17491.70,7215.30,0.00,10276.40,10271.20,5.30,0.00,0.00,NA,NA,NA,401.70,335.80,,,,,,,,,,,,
Swaziland,2013,185.90,62.10,0.00,0.80,123.00,0.00,0.00,821.90,165.30,639.50,123.70,0.00,515.80,239.80,0.00,276.00,0.00,57.50,76.70,51.70,503.00,130.00,,,,,,,,,,,,
Swaziland,2014,168.90,62.10,0.00,0.80,106.00,0.00,0.00,476.20,125.30,847.00,315.00,0.00,532.00,212.00,0.00,320.00,0.00,65.00,84.00,59.30,654.00,96.70,,,,,,,,,,,,
Swaziland,2015,168.90,62.10,0.00,0.80,106.00,0.00,0.00,511.60,207.90,885.90,322.40,0.00,563.50,216.30,0.00,347.20,0.00,64.10,80.70,59.10,671.70,157.60,,,,,,,,,,,,
Swaziland,2016,169.00,62.10,0.00,0.90,106.00,0.00,0.00,548.90,216.00,904.00,330.90,0.00,573.10,220.60,0.00,352.50,0.00,63.40,81.00,58.10,673.00,160.80,,,,,,,,,,,,
Swaziland,2017,169.00,62.10,0.00,0.90,106.00,0.00,0.00,588.30,224.90,923.00,339.70,0.00,583.30,225.10,0.00,358.20,0.00,73.50,85.90,69.70,675.10,164.50,,,,,,,,,,,,
Swaziland,2018,169.00,62.10,0.00,0.90,106.00,0.00,0.00,1094.80,1133.20,840.80,348.80,0.00,492.00,207.80,0.20,284.00,0.00,74.10,88.30,69.70,604.30,814.40,,,,,,,,,,,,
Swaziland,2019,169.00,62.10,0.00,0.90,106.00,0.00,0.00,1174.90,1190.90,859.70,358.40,0.00,501.40,212.00,0.20,289.10,0.00,77.20,90.60,72.90,607.40,841.40,,,,,,,,,,,,
Swaziland,2020,169.00,62.10,0.00,0.90,106.00,0.00,0.00,1263.40,1269.10,879.40,368.30,0.00,511.10,216.40,0.20,294.40,0.00,NA,NA,NA,611.00,881.70,,,,,,,,,,,,
Togo,2013,67.00,66.60,0.00,0.40,0.00,0.00,0.00,1008.00,1072.00,93.00,17.00,0.00,76.00,71.00,0.00,5.00,0.00,40.80,78.10,16.90,13.20,152.20,,,,,,,,,,,,
Togo,2014,67.30,66.60,0.00,0.70,0.00,0.00,0.00,1056.00,1150.00,145.00,20.00,0.00,125.00,120.00,0.00,5.00,0.00,45.70,83.20,21.10,20.10,159.10,,,,,,,,,,,,
Togo,2015,68.10,66.60,0.00,1.50,0.00,0.00,0.00,1240.00,1244.00,81.10,20.00,0.00,61.10,56.00,0.00,5.10,0.00,44.70,82.00,19.80,10.90,167.70,,,,,,,,,,,,
Togo,2016,68.40,66.60,0.00,1.80,0.00,0.00,0.00,1140.00,1248.00,260.90,23.00,0.00,237.90,232.60,0.00,5.30,0.00,46.80,84.50,21.10,34.30,164.10,,,,,,,,,,,,
Togo,2017,68.80,66.60,0.00,2.20,0.00,0.00,0.00,846.00,1802.00,702.50,594.10,0.00,108.40,103.00,0.00,5.40,0.00,48.00,88.80,19.50,90.10,231.10,,,,,,,,,,,,
Togo,2018,69.60,66.60,0.00,3.00,0.00,0.00,0.00,963.20,1239.10,505.30,386.70,0.00,118.60,113.00,0.00,5.60,0.00,50.00,83.10,26.30,63.20,155.10,,,,,,,,,,,,
Togo,2019,69.60,66.60,0.00,3.00,0.00,0.00,0.00,1033.30,1276.50,520.70,390.80,0.00,129.90,124.10,0.00,5.80,0.00,52.40,91.80,23.60,63.60,155.90,,,,,,,,,,,,
Togo,2020,69.70,66.60,0.00,3.10,0.00,0.00,0.00,1110.10,1316.50,537.70,395.40,0.00,142.30,136.50,0.00,5.80,0.00,NA,NA,NA,64.10,157.00,,,,,,,,,,,,
Tunisia,2013,271.50,62.00,200.00,9.50,0.00,0.00,233.80,177.00,14728.00,18369.10,17943.80,0.00,425.30,60.10,365.20,0.00,0.00,99.70,99.90,99.20,1667.70,1337.10,,,,,,,,,,,,
Tunisia,2014,312.10,62.00,233.00,17.10,0.00,0.00,625.00,536.00,15190.00,19015.20,18458.20,0.00,557.00,56.00,501.00,0.00,0.00,99.80,100.00,99.40,1706.30,1363.10,,,,,,,,,,,,
Tunisia,2015,333.50,62.00,244.00,27.50,0.00,0.00,499.90,402.90,15571.70,19474.90,18904.00,0.00,570.90,60.90,489.00,21.00,0.00,99.90,99.90,99.90,1727.50,1381.20,,,,,,,,,,,,
Tunisia,2016,347.00,62.00,244.00,41.00,0.00,0.00,500.00,379.00,15569.30,19626.20,19002.00,0.00,624.20,66.20,537.00,21.00,0.00,100.00,100.00,100.00,1721.10,1365.30,,,,,,,,,,,,
Tunisia,2017,356.80,62.00,244.00,50.80,0.00,0.00,517.70,483.70,16113.00,20610.70,19989.90,0.00,620.70,17.50,581.80,21.50,0.00,100.00,100.00,100.00,1787.20,1397.20,,,,,,,,,,,,
Tunisia,2018,369.70,62.00,244.00,63.70,0.00,0.00,516.70,482.80,16226.70,20379.00,19757.50,0.00,621.50,17.50,581.80,22.30,0.00,99.80,99.90,99.60,1747.90,1391.80,,,,,,,,,,,,
Tunisia,2019,386.00,62.00,244.00,80.00,0.00,0.00,522.10,489.00,16927.20,20694.00,20058.40,0.00,635.60,18.80,593.50,23.30,0.00,100.00,100.00,100.00,1756.20,1436.60,,,,,,,,,,,,
Tunisia,2020,400.90,62.00,244.00,94.90,0.00,0.00,529.60,497.30,17672.60,23812.70,23161.30,0.00,651.40,20.20,606.60,24.60,0.00,NA,NA,NA,2000.50,1484.70,,,,,,,,,,,,
Uganda,2013,746.00,691.50,0.00,18.50,36.00,0.00,103.50,0.00,787.50,3202.70,613.20,0.00,2589.50,2393.20,21.00,175.20,0.00,13.90,55.50,2.90,85.30,21.00,,,,,,,,,,,,
Uganda,2014,769.00,695.00,0.00,20.00,54.00,0.00,103.20,0.00,787.30,3207.00,613.00,0.00,2594.00,2393.00,26.00,175.00,0.00,20.40,51.40,11.90,82.60,20.30,,,,,,,,,,,,
Uganda,2015,781.50,695.00,0.00,22.00,64.50,0.00,99.80,0.00,808.00,3282.90,634.90,0.00,2648.00,2433.10,27.50,187.50,0.00,18.50,51.90,9.00,81.80,20.10,,,,,,,,,,,,
Uganda,2016,783.50,695.00,0.00,24.00,64.50,0.00,136.80,40.70,833.80,3365.20,658.60,0.00,2706.60,2475.00,29.40,202.20,0.00,26.70,57.50,17.70,81.10,20.10,,,,,,,,,,,,
Uganda,2017,830.80,708.40,0.00,46.00,76.40,0.00,298.20,8.40,2814.50,3855.50,242.00,0.00,3613.50,3440.70,23.00,149.80,0.00,32.70,63.20,23.50,90.00,65.70,,,,,,,,,,,,
Uganda,2018,852.60,728.20,0.00,48.00,76.40,0.00,204.40,10.30,3068.60,4234.60,207.30,0.00,4027.30,3643.00,32.60,351.60,0.00,42.70,70.10,34.20,95.70,69.30,,,,,,,,,,,,
Uganda,2019,1147.30,988.70,0.00,82.20,76.40,0.00,189.60,7.40,3194.40,4317.50,215.10,0.00,4102.40,3714.20,33.00,355.30,0.00,41.30,70.80,31.80,94.50,69.90,,,,,,,,,,,,
Uganda,2020,1154.10,995.20,0.00,82.50,76.40,0.00,178.50,8.70,3352.60,4405.70,222.90,0.00,4182.80,3790.00,33.40,359.40,0.00,NA,NA,NA,93.40,71.00,,,,,,,,,,,,
United Republic of Tanzania,2013,640.70,570.60,0.00,3.70,66.40,0.00,0.00,59.00,4836.00,5931.10,4188.00,0.00,1743.10,1717.00,5.10,21.00,0.00,16.40,50.30,1.70,117.10,95.50,,,,,,,,,,,,
United Republic of Tanzania,2014,651.90,570.60,0.00,11.20,70.20,0.00,0.00,59.00,4976.00,6208.00,3589.00,0.00,2619.00,2590.00,7.00,22.00,0.00,23.50,53.60,10.00,118.80,95.30,,,,,,,,,,,,
United Republic of Tanzania,2015,659.40,576.40,0.00,12.80,70.20,0.00,0.00,71.00,5194.70,6394.00,4244.00,0.00,2150.00,2108.00,21.00,21.00,0.00,26.30,58.70,11.40,118.70,96.40,,,,,,,,,,,,
United Republic of Tanzania,2016,665.10,576.40,0.00,18.50,70.20,0.00,0.00,102.00,5526.00,6959.70,4586.00,0.00,2373.70,2326.00,25.00,22.70,0.00,32.80,65.30,17.30,125.20,99.40,,,,,,,,,,,,
United Republic of Tanzania,2017,675.40,583.10,0.00,22.10,70.20,0.00,0.00,110.20,5800.50,7114.10,4684.60,0.00,2429.50,2378.40,26.50,24.60,0.00,32.40,65.80,16.00,124.10,101.20,,,,,,,,,,,,
United Republic of Tanzania,2018,678.90,583.10,0.00,25.60,70.20,0.00,0.00,119.30,5806.80,7876.90,5392.00,0.00,2485.00,2432.10,28.00,24.90,0.00,35.20,69.10,18.00,133.30,98.30,,,,,,,,,,,,
United Republic of Tanzania,2019,679.00,583.10,0.00,25.70,70.20,0.00,0.00,129.30,6119.30,8066.70,5524.30,0.00,2542.40,2487.20,30.00,25.10,0.00,37.70,73.20,19.00,132.40,100.50,,,,,,,,,,,,
United Republic of Tanzania,2020,679.20,583.10,0.00,25.90,70.20,0.00,0.00,140.50,6468.20,8270.20,5668.40,0.00,2601.80,2543.90,32.50,25.40,0.00,NA,NA,NA,131.70,103.00,,,,,,,,,,,,
Zimbabwe,2013,860.30,758.30,0.00,2.00,100.00,0.00,1187.30,1726.00,8285.00,9581.50,4408.00,0.00,5173.50,4996.00,4.50,173.00,0.00,38.30,85.30,15.60,636.50,550.30,,,,,,,,,,,,
Zimbabwe,2014,861.10,758.40,0.00,2.70,100.00,0.00,1226.00,1127.00,8238.00,10031.00,4451.00,0.00,5580.00,5431.00,5.00,144.00,0.00,32.30,83.40,7.70,650.90,534.50,,,,,,,,,,,,
Zimbabwe,2015,877.70,773.40,0.00,4.30,100.00,0.00,1243.00,1143.00,7541.00,9714.10,4590.00,0.00,5124.10,4990.00,5.10,129.00,0.00,33.70,81.20,10.90,615.70,478.00,,,,,,,,,,,,
Zimbabwe,2016,882.30,777.20,0.00,5.10,100.00,0.00,369.00,2220.00,7446.60,7096.90,3947.00,0.00,3149.90,3023.80,5.10,121.00,0.00,39.70,85.30,17.90,439.40,461.10,,,,,,,,,,,,
Zimbabwe,2017,887.30,781.10,0.00,6.30,100.00,0.00,740.50,2635.40,7649.80,7409.90,4101.30,0.00,3308.60,3171.60,5.20,131.80,0.00,40.10,85.40,18.60,448.30,462.80,,,,,,,,,,,,
