Country,Year,Electricity installed capacity in Total renewable energy (MW),Electricity installed capacity in Hydropower (MW),Electricity installed capacity in Wind (MW),Electricity installed capacity in Solar (MW),Electricity installed capacity in Bioenergy (MW),Electricity installed capacity in Geothermal (MW),Electricity export (GWh),Electricity import (GWh),Electricity final consumption (GWh),"Electricity generation, Total (GWh)",Electricity generated from fossil fuels (GWh),Electricity generated from nuclear power (GWh),Electricity generated from renewable sources (GWh),Electricity generated from hydropower (GWh),"Electricity generated from solar, wind, tide, wave and other sources (GWh)",Electricity generated from biofuels and waste (GWh),Electricity generated from geothermal energy (GWh),Population access to electricity-National (% of population),Population access to electricity-Urban (% of population),Population access to electricity-Rural (% of population),Electricity generation per Capita (KWh),Electricity final consumption per capita (KWh),,,,,,,,,,,,
Burundi,2018,57.40,48.30,0.00,5.10,4.00,0.00,0.00,120.90,255.70,263.00,73.80,0.00,189.10,188.10,1.00,0.00,0.00,10.60,61.50,3.00,23.40,22.80,,,,,,,,,,,,
Burundi,2019,57.40,48.30,0.00,5.10,4.00,0.00,0.00,130.30,270.70,266.40,74.60,0.00,191.80,190.80,1.00,0.00,0.00,11.10,62.70,3.10,23.00,23.40,,,,,,,,,,,,
Burundi,2020,57.40,48.30,0.00,5.10,4.00,0.00,0.00,140.70,289.80,270.20,75.70,0.00,194.60,193.60,1.00,0.00,0.00,NA,NA,NA,22.60,24.30,,,,,,,,,,,,
Cameroon,2013,736.10,732.50,0.00,3.60,0.00,0.00,0.00,0.00,5214.00,5975.80,1613.00,0.00,4362.80,4231.00,63.80,68.00,0.00,56.20,88.50,19.20,275.90,240.80,,,,,,,,,,,,
Cameroon,2014,738.10,732.50,0.00,5.60,0.00,0.00,0.00,1507.00,5485.00,6220.00,1518.00,0.00,4702.00,4562.00,68.00,72.00,0.00,56.80,89.20,18.80,279.70,246.60,,,,,,,,,,,,
Cameroon,2015,739.90,732.50,0.00,7.40,0.00,0.00,0.00,60.00,6070.60,8013.70,3581.00,0.00,4432.70,4359.00,70.70,3.00,0.00,58.60,89.80,21.00,350.90,265.90,,,,,,,,,,,,
Cameroon,2016,741.50,732.50,0.00,9.00,0.00,0.00,0.00,55.00,6425.00,8441.70,3753.00,0.00,4688.70,4611.00,73.70,4.00,0.00,59.80,90.60,21.80,360.20,274.10,,,,,,,,,,,,
Cameroon,2017,743.90,732.30,0.00,11.60,0.00,0.00,0.00,60.20,6694.50,8666.60,3798.50,0.00,4868.20,4787.00,77.00,4.10,0.00,61.00,91.50,22.50,360.30,278.30,,,,,,,,,,,,
Cameroon,2018,746.50,732.30,0.00,14.20,0.00,0.00,0.00,48.90,6590.80,8343.10,3986.00,0.00,4357.10,4272.40,80.50,4.20,0.00,62.20,90.00,26.30,338.10,267.10,,,,,,,,,,,,
Cameroon,2019,791.50,777.30,0.00,14.20,0.00,0.00,0.00,53.30,6886.80,8572.80,4045.50,0.00,4527.30,4438.70,84.30,4.30,0.00,63.50,93.20,24.00,338.70,272.10,,,,,,,,,,,,
Cameroon,2020,791.60,777.30,0.00,14.30,0.00,0.00,0.00,58.10,7211.40,8816.70,4111.10,0.00,4705.60,4612.70,88.50,4.40,0.00,NA,NA,NA,339.60,277.80,,,,,,,,,,,,
Cape Verde,2013,32.90,0.00,27.20,5.70,0.00,0.00,0.00,0.00,1014.80,297.40,290.40,0.00,7.00,0.00,7.00,0.00,0.00,83.00,90.80,69.50,571.80,1951.10,,,,,,,,,,,,
Cape Verde,2014,33.00,0.00,27.20,5.80,0.00,0.00,0.00,0.00,1018.10,349.40,315.00,0.00,34.40,0.00,34.40,0.00,0.00,85.10,91.60,73.50,663.70,1934.00,,,,,,,,,,,,
Cape Verde,2015,33.30,0.00,27.20,6.10,0.00,0.00,0.00,0.00,226.30,359.70,322.40,0.00,37.30,0.00,37.30,0.00,0.00,87.10,92.30,77.80,674.90,424.70,,,,,,,,,,,,
Cape Verde,2016,33.40,0.00,27.20,6.20,0.00,0.00,0.00,0.00,236.10,367.80,330.10,0.00,37.70,0.00,37.70,0.00,0.00,89.20,93.10,82.10,681.60,437.60,,,,,,,,,,,,
Cape Verde,2017,33.40,0.00,27.20,6.20,0.00,0.00,0.00,0.00,364.20,490.90,408.00,0.00,83.00,0.00,83.00,0.00,0.00,91.30,93.80,86.60,898.50,666.60,,,,,,,,,,,,
Cape Verde,2018,35.30,0.00,27.80,7.50,0.00,0.00,0.00,0.00,361.80,502.60,418.40,0.00,84.30,0.00,84.30,0.00,0.00,93.40,94.60,91.20,908.30,653.80,,,,,,,,,,,,
Cape Verde,2019,35.40,0.00,27.80,7.60,0.00,0.00,0.00,0.00,377.50,515.20,429.30,0.00,85.90,0.00,85.90,0.00,0.00,95.50,95.30,95.90,919.50,673.80,,,,,,,,,,,,
Cape Verde,2020,35.40,0.00,27.80,7.60,0.00,0.00,0.00,0.00,395.20,528.80,441.00,0.00,87.80,0.00,87.80,0.00,0.00,NA,NA,NA,932.10,696.60,,,,,,,,,,,,
Central African republic,2013,19.10,18.90,0.00,0.30,0.00,0.00,0.00,0.00,104.80,144.30,0.70,0.00,143.60,138.50,5.10,0.00,0.00,11.50,26.60,1.50,32.10,23.30,,,,,,,,,,,,
Central African republic,2014,19.10,18.90,0.00,0.30,0.00,0.00,0.00,0.00,76.20,147.20,1.00,0.00,146.20,138.80,7.30,0.00,0.00,12.10,27.50,1.80,32.60,16.90,,,,,,,,,,,,
Central African republic,2015,19.10,18.90,0.00,0.30,0.00,0.00,0.00,0.00,62.80,149.00,1.00,0.00,148.00,140.60,7.40,0.00,0.00,12.70,29.50,1.40,32.80,13.80,,,,,,,,,,,,
